location,total_sqft,bhk,bath,metro_dist,price
Miyapur,1449,2,2.0,0.2,95.76
Banjara Hills,3635,4,4.0,3.0,573.9
Kondapur,2432,3,3.0,2.0,211.57
Uppal,3919,4,5.0,0.1,196.58
Kondapur,3225,4,4.0,2.0,268.62
Ameerpet,1876,3,3.0,0.0,155.2
Kondapur,2788,3,3.0,2.0,248.97
Gachibowli,3686,4,4.0,1.5,299.17
Kondapur,1440,2,2.0,2.0,112.98
Ameerpet,2448,3,3.0,0.0,190.04
Manikonda,3157,4,5.0,4.0,194.73
Kukatpally,3456,4,4.0,0.5,221.32
Banjara Hills,1676,2,2.0,3.0,244.16
Manikonda,2426,3,4.0,4.0,154.69
Ameerpet,1037,2,2.0,0.0,91.53
Miyapur,2309,3,3.0,0.2,152.99
Ameerpet,1452,2,2.0,0.0,131.97
Kondapur,1812,3,4.0,2.0,162.06
Banjara Hills,3706,4,4.0,3.0,580.77
Jubilee Hills,3848,4,4.0,2.5,700.85
Ameerpet,1127,2,2.0,0.0,99.17
Banjara Hills,3531,4,4.0,3.0,542.88
Jubilee Hills,2589,3,3.0,2.5,472.03
Jubilee Hills,1977,3,4.0,2.5,390.49
Madhapur,3533,4,4.0,1.0,336.24
Madhapur,3457,4,4.0,1.0,319.06
Manikonda,2431,3,4.0,4.0,147.99
Kondapur,1674,2,3.0,2.0,149.28
Kondapur,2374,3,3.0,2.0,201.64
Manikonda,812,1,1.0,4.0,57.36
Miyapur,2749,3,3.0,0.2,175.69
Kukatpally,947,1,1.0,0.5,85.03
Ameerpet,2640,3,3.0,0.0,204.11
Uppal,3106,4,5.0,0.1,160.08
Gachibowli,1638,2,2.0,1.5,154.71
Uppal,1188,2,2.0,0.1,75.04
Uppal,3396,4,4.0,0.1,187.14
Kondapur,906,1,2.0,2.0,90.64
Jubilee Hills,3728,4,5.0,2.5,682.53
Madhapur,3288,4,4.0,1.0,327.98
Miyapur,2794,3,3.0,0.2,174.68
Uppal,2265,3,4.0,0.1,126.35
Manikonda,1069,2,2.0,4.0,71.91
Kukatpally,2958,4,5.0,0.5,194.29
Kondapur,1882,3,3.0,2.0,177.55
Banjara Hills,2652,3,3.0,3.0,396.93
Ameerpet,1580,2,2.0,0.0,132.42
Kukatpally,2156,3,3.0,0.5,158.45
Jubilee Hills,3943,4,4.0,2.5,744.61
Kukatpally,1796,2,3.0,0.5,149.19
Kukatpally,3231,4,4.0,0.5,214.5
Kondapur,3896,4,4.0,2.0,326.37
Manikonda,3704,4,4.0,4.0,241.14
Ameerpet,3832,4,4.0,0.0,305.41
Gachibowli,3086,4,4.0,1.5,277.78
Ameerpet,3025,4,5.0,0.0,239.15
Banjara Hills,3054,4,4.0,3.0,462.22
Kondapur,2088,3,3.0,2.0,194.49
Kondapur,3133,4,4.0,2.0,265.21
Gachibowli,3665,4,4.0,1.5,288.1
Manikonda,3899,4,4.0,4.0,246.23
Gachibowli,2038,3,3.0,1.5,184.4
Uppal,2192,3,4.0,0.1,116.49
Manikonda,1278,2,2.0,4.0,89.69
Miyapur,3055,4,4.0,0.2,176.91
Kukatpally,3943,4,4.0,0.5,280.48
Uppal,1658,2,2.0,0.1,97.93
Kukatpally,3883,4,4.0,0.5,245.65
Uppal,1262,2,3.0,0.1,71.86
Kondapur,2026,3,3.0,2.0,168.41
Kukatpally,3997,4,4.0,0.5,293.53
Uppal,814,1,1.0,0.1,58.78
Banjara Hills,2234,3,4.0,3.0,330.27
Ameerpet,2151,3,3.0,0.0,177.84
Madhapur,1693,2,2.0,1.0,174.73
Manikonda,3460,4,4.0,4.0,236.76
Kondapur,1396,2,3.0,2.0,127.42
Kondapur,2601,3,4.0,2.0,203.44
Gachibowli,3244,4,5.0,1.5,302.59
Madhapur,3414,4,4.0,1.0,317.13
Miyapur,2764,3,3.0,0.2,165.05
Manikonda,3643,4,5.0,4.0,218.68
Kondapur,3593,4,4.0,2.0,319.49
Miyapur,3279,4,4.0,0.2,202.21
Jubilee Hills,2520,3,4.0,2.5,430.8
Madhapur,988,1,2.0,1.0,104.43
Kukatpally,2610,3,3.0,0.5,200.42
Manikonda,986,1,1.0,4.0,61.0
Kondapur,2365,3,3.0,2.0,208.78
Gachibowli,1783,2,2.0,1.5,158.09
Uppal,1615,2,3.0,0.1,83.71
Madhapur,2103,3,3.0,1.0,215.77
Kukatpally,2219,3,3.0,0.5,161.78
Gachibowli,3634,4,5.0,1.5,328.7
Uppal,2390,3,3.0,0.1,121.63
Jubilee Hills,2153,3,4.0,2.5,403.78
Kukatpally,2773,3,4.0,0.5,197.1
Kukatpally,2413,3,3.0,0.5,184.46
Banjara Hills,3568,4,4.0,3.0,552.15
Kondapur,3157,4,4.0,2.0,248.51
Miyapur,2715,3,3.0,0.2,166.44
Kondapur,3144,4,4.0,2.0,283.49
Kukatpally,3555,4,4.0,0.5,252.88
Uppal,1114,2,2.0,0.1,72.0
Madhapur,3927,4,4.0,1.0,392.68
Jubilee Hills,2734,3,3.0,2.5,495.17
Jubilee Hills,2564,3,3.0,2.5,466.01
Banjara Hills,1812,3,4.0,3.0,305.94
Manikonda,3773,4,4.0,4.0,217.54
Kukatpally,1791,2,3.0,0.5,120.5
Banjara Hills,1113,2,2.0,3.0,168.62
Kukatpally,1259,2,2.0,0.5,97.0
Banjara Hills,3055,4,5.0,3.0,429.28
Kondapur,1750,2,2.0,2.0,151.1
Banjara Hills,1666,2,3.0,3.0,243.94
Banjara Hills,999,1,1.0,3.0,160.72
Madhapur,1966,3,4.0,1.0,194.24
Jubilee Hills,1591,2,3.0,2.5,291.6
Madhapur,3444,4,4.0,1.0,322.39
Manikonda,851,1,1.0,4.0,53.81
Uppal,1235,2,2.0,0.1,69.68
Uppal,3195,4,4.0,0.1,173.99
Gachibowli,2964,4,5.0,1.5,279.38
Kondapur,3688,4,4.0,2.0,285.72
Jubilee Hills,1264,2,3.0,2.5,243.49
Ameerpet,3322,4,5.0,0.0,237.19
Ameerpet,1430,2,2.0,0.0,118.17
Kondapur,3598,4,4.0,2.0,266.72
Gachibowli,1511,2,2.0,1.5,138.83
Manikonda,2090,3,3.0,4.0,121.25
Kukatpally,861,1,1.0,0.5,64.01
Ameerpet,2575,3,3.0,0.0,192.58
Ameerpet,808,1,1.0,0.0,67.95
Madhapur,2174,3,3.0,1.0,239.69
Uppal,3303,4,4.0,0.1,158.56
Ameerpet,1809,3,4.0,0.0,136.63
Kondapur,2387,3,3.0,2.0,192.56
Ameerpet,3715,4,5.0,0.0,280.34
Kondapur,3843,4,4.0,2.0,305.28
Manikonda,3094,4,4.0,4.0,182.3
Kukatpally,3208,4,4.0,0.5,227.48
Manikonda,3290,4,4.0,4.0,208.2
Ameerpet,1166,2,2.0,0.0,96.38
Kondapur,946,1,2.0,2.0,92.56
Gachibowli,3380,4,4.0,1.5,293.56
Ameerpet,2070,3,4.0,0.0,157.04
Manikonda,2187,3,3.0,4.0,153.43
Madhapur,2242,3,4.0,1.0,220.09
Ameerpet,3928,4,4.0,0.0,301.1
Jubilee Hills,1324,2,2.0,2.5,245.06
Uppal,1728,2,2.0,0.1,84.32
Jubilee Hills,3604,4,4.0,2.5,647.32
Miyapur,3743,4,4.0,0.2,222.37
Kondapur,1587,2,2.0,2.0,143.41
Madhapur,2712,3,4.0,1.0,285.02
Manikonda,3585,4,5.0,4.0,246.02
Gachibowli,1260,2,3.0,1.5,120.77
Kukatpally,3879,4,4.0,0.5,255.21
Kondapur,3107,4,5.0,2.0,257.59
Kukatpally,3072,4,5.0,0.5,233.78
Madhapur,3866,4,4.0,1.0,362.21
Banjara Hills,2674,3,3.0,3.0,422.49
Madhapur,1913,3,4.0,1.0,195.15
Banjara Hills,2306,3,3.0,3.0,357.3
Madhapur,3603,4,4.0,1.0,317.24
Madhapur,2424,3,4.0,1.0,242.15
Kondapur,2582,3,3.0,2.0,216.78
Kondapur,2093,3,3.0,2.0,175.76
Jubilee Hills,1638,2,3.0,2.5,285.34
Manikonda,2458,3,4.0,4.0,145.57
Ameerpet,898,1,1.0,0.0,82.61
Manikonda,1595,2,2.0,4.0,92.53
Ameerpet,1221,2,2.0,0.0,105.8
Ameerpet,3275,4,4.0,0.0,214.33
Uppal,1770,2,2.0,0.1,101.2
Kukatpally,1296,2,2.0,0.5,106.26
Kukatpally,1417,2,3.0,0.5,107.28
Madhapur,1567,2,3.0,1.0,168.1
Gachibowli,2106,3,3.0,1.5,178.25
Gachibowli,1014,2,2.0,1.5,106.62
Uppal,3345,4,4.0,0.1,166.32
Madhapur,3506,4,4.0,1.0,330.06
Jubilee Hills,1921,3,3.0,2.5,358.41
Manikonda,3390,4,5.0,4.0,200.62
Kondapur,1807,3,3.0,2.0,163.09
Banjara Hills,3355,4,4.0,3.0,508.6
Miyapur,2750,3,3.0,0.2,161.73
Jubilee Hills,2079,3,4.0,2.5,384.17
Kondapur,3229,4,5.0,2.0,292.25
Miyapur,3299,4,4.0,0.2,186.04
Kondapur,979,1,1.0,2.0,80.06
Ameerpet,3972,4,4.0,0.0,303.24
Gachibowli,1894,3,3.0,1.5,172.83
Ameerpet,2243,3,3.0,0.0,165.61
Manikonda,2497,3,3.0,4.0,154.49
Banjara Hills,3222,4,4.0,3.0,508.11
Miyapur,2253,3,3.0,0.2,134.74
Miyapur,3474,4,4.0,0.2,214.31
Banjara Hills,1045,2,3.0,3.0,164.57
Manikonda,2735,3,3.0,4.0,200.91
Gachibowli,2338,3,3.0,1.5,213.44
Madhapur,2870,4,4.0,1.0,303.35
Gachibowli,3377,4,4.0,1.5,313.56
Madhapur,2870,4,4.0,1.0,282.4
Ameerpet,2038,3,3.0,0.0,159.14
Manikonda,3544,4,4.0,4.0,190.28
Madhapur,1268,2,2.0,1.0,145.53
Gachibowli,1497,2,2.0,1.5,147.13
Gachibowli,2589,3,3.0,1.5,211.93
Ameerpet,1118,2,3.0,0.0,100.13
Ameerpet,2253,3,3.0,0.0,185.8
Miyapur,3771,4,5.0,0.2,236.38
Kukatpally,2423,3,4.0,0.5,170.06
Jubilee Hills,2937,4,5.0,2.5,518.5
Madhapur,3736,4,4.0,1.0,352.05
Madhapur,802,1,1.0,1.0,102.66
Jubilee Hills,3262,4,4.0,2.5,587.59
Miyapur,3087,4,4.0,0.2,179.41
Miyapur,2408,3,3.0,0.2,155.77
Miyapur,2558,3,3.0,0.2,168.34
Banjara Hills,1892,3,3.0,3.0,316.09
Gachibowli,1715,2,2.0,1.5,177.32
Miyapur,2980,4,4.0,0.2,186.45
Madhapur,1743,2,2.0,1.0,171.18
Miyapur,2908,4,4.0,0.2,164.31
Manikonda,1328,2,2.0,4.0,89.67
Uppal,1729,2,2.0,0.1,98.73
Kondapur,1587,2,2.0,2.0,134.09
Uppal,1262,2,2.0,0.1,70.05
Kukatpally,3411,4,4.0,0.5,242.34
Banjara Hills,3396,4,4.0,3.0,546.47
Manikonda,1614,2,2.0,4.0,115.1
Madhapur,1312,2,2.0,1.0,131.63
Uppal,1627,2,2.0,0.1,92.37
Gachibowli,1365,2,2.0,1.5,126.81
Uppal,3437,4,4.0,0.1,186.66
Miyapur,3595,4,4.0,0.2,218.83
Miyapur,2005,3,4.0,0.2,127.14
Kukatpally,2446,3,3.0,0.5,168.33
Uppal,2803,4,4.0,0.1,147.56
Ameerpet,2399,3,3.0,0.0,190.51
Manikonda,3489,4,4.0,4.0,186.48
Uppal,2754,3,4.0,0.1,132.34
Kukatpally,2713,3,3.0,0.5,210.78
Gachibowli,3844,4,4.0,1.5,353.86
Ameerpet,2223,3,3.0,0.0,175.68
Kukatpally,3942,4,4.0,0.5,300.39
Miyapur,2813,4,5.0,0.2,154.82
Kukatpally,3526,4,4.0,0.5,246.82
Ameerpet,1151,2,2.0,0.0,101.51
Gachibowli,1102,2,3.0,1.5,106.36
Ameerpet,3877,4,5.0,0.0,277.2
Jubilee Hills,3027,4,4.0,2.5,546.71
Gachibowli,3540,4,5.0,1.5,333.22
Uppal,1975,3,4.0,0.1,100.66
Uppal,3888,4,4.0,0.1,177.2
Gachibowli,2182,3,3.0,1.5,184.63
Kondapur,3776,4,5.0,2.0,323.21
Ameerpet,3116,4,4.0,0.0,227.36
Kukatpally,3959,4,5.0,0.5,266.7
Banjara Hills,2714,3,3.0,3.0,417.28
Uppal,3482,4,5.0,0.1,161.5
Jubilee Hills,3923,4,4.0,2.5,717.7
Jubilee Hills,1182,2,2.0,2.5,235.86
Banjara Hills,2641,3,3.0,3.0,415.81
Jubilee Hills,1100,2,2.0,2.5,197.13
Miyapur,3630,4,4.0,0.2,212.64
Madhapur,2099,3,4.0,1.0,211.83
Manikonda,1213,2,3.0,4.0,83.19
Madhapur,3532,4,4.0,1.0,375.14
Miyapur,977,1,2.0,0.2,80.07
Gachibowli,2208,3,4.0,1.5,216.23
Uppal,3873,4,4.0,0.1,187.63
Gachibowli,2228,3,3.0,1.5,212.66
Ameerpet,3348,4,4.0,0.0,242.2
Kukatpally,3646,4,4.0,0.5,252.52
Madhapur,3288,4,4.0,1.0,339.12
Banjara Hills,2855,4,5.0,3.0,455.52
Gachibowli,1496,2,3.0,1.5,138.83
Jubilee Hills,1289,2,3.0,2.5,218.84
Gachibowli,1299,2,2.0,1.5,122.97
Madhapur,2532,3,3.0,1.0,238.07
Uppal,3676,4,4.0,0.1,192.48
Gachibowli,1425,2,2.0,1.5,132.53
Kondapur,2543,3,4.0,2.0,226.92
Gachibowli,2877,4,4.0,1.5,258.59
Gachibowli,1983,3,4.0,1.5,174.79
Uppal,3051,4,4.0,0.1,163.33
Madhapur,3252,4,5.0,1.0,342.27
Banjara Hills,1577,2,3.0,3.0,246.45
Ameerpet,2128,3,4.0,0.0,159.0
Kondapur,2151,3,4.0,2.0,177.77
Miyapur,1436,2,2.0,0.2,82.92
Miyapur,2345,3,3.0,0.2,137.64
Gachibowli,2762,3,3.0,1.5,261.19
Jubilee Hills,1881,3,3.0,2.5,339.72
Kondapur,3895,4,4.0,2.0,323.46
Kukatpally,1468,2,2.0,0.5,116.8
Madhapur,855,1,1.0,1.0,92.84
Gachibowli,3945,4,4.0,1.5,344.08
Kukatpally,978,1,1.0,0.5,90.92
Ameerpet,2790,3,4.0,0.0,214.83
Gachibowli,3872,4,4.0,1.5,312.57
Kukatpally,872,1,1.0,0.5,68.24
Manikonda,2326,3,4.0,4.0,159.63
Jubilee Hills,2637,3,4.0,2.5,455.46
Gachibowli,2757,3,3.0,1.5,250.32
Madhapur,989,1,1.0,1.0,113.99
Jubilee Hills,3369,4,5.0,2.5,593.63
Miyapur,3078,4,4.0,0.2,180.0
Uppal,1783,2,2.0,0.1,88.16
Kondapur,2151,3,3.0,2.0,183.89
Kondapur,2564,3,3.0,2.0,229.77
Manikonda,3204,4,5.0,4.0,199.58
Banjara Hills,1084,2,2.0,3.0,174.24
Banjara Hills,878,1,2.0,3.0,157.45
Kukatpally,1972,3,3.0,0.5,134.29
Jubilee Hills,2755,3,4.0,2.5,515.94
Kondapur,1254,2,3.0,2.0,110.11
Kondapur,1481,2,2.0,2.0,130.82
Banjara Hills,2853,4,4.0,3.0,430.05
Gachibowli,3084,4,5.0,1.5,274.25
Ameerpet,1077,2,2.0,0.0,81.96
Jubilee Hills,3197,4,4.0,2.5,635.52
Madhapur,2935,4,5.0,1.0,301.44
Miyapur,3544,4,5.0,0.2,213.35
Uppal,1360,2,3.0,0.1,79.13
Uppal,3656,4,4.0,0.1,185.63
Manikonda,1986,3,3.0,4.0,127.84
Miyapur,1986,3,3.0,0.2,122.88
Ameerpet,1226,2,3.0,0.0,102.35
Uppal,2635,3,4.0,0.1,123.42
Gachibowli,2044,3,4.0,1.5,183.06
Gachibowli,2128,3,3.0,1.5,186.66
Jubilee Hills,3907,4,4.0,2.5,697.01
Miyapur,2209,3,3.0,0.2,137.11
Madhapur,2455,3,3.0,1.0,231.71
Jubilee Hills,3584,4,4.0,2.5,631.31
Gachibowli,2175,3,3.0,1.5,200.51
Uppal,1602,2,3.0,0.1,87.92
Kukatpally,2257,3,3.0,0.5,162.57
Kukatpally,3691,4,4.0,0.5,272.44
Kondapur,2804,4,4.0,2.0,229.78
Manikonda,1701,2,2.0,4.0,119.56
Miyapur,2168,3,4.0,0.2,140.85
Banjara Hills,2594,3,4.0,3.0,416.58
Jubilee Hills,3124,4,5.0,2.5,575.41
Kondapur,1173,2,2.0,2.0,104.16
Jubilee Hills,3486,4,5.0,2.5,633.53
Jubilee Hills,1586,2,2.0,2.5,307.65
Gachibowli,3113,4,4.0,1.5,300.94
Uppal,1758,2,2.0,0.1,95.66
Uppal,1779,2,2.0,0.1,96.65
Miyapur,1015,2,2.0,0.2,70.54
Kondapur,1187,2,2.0,2.0,105.71
Madhapur,3416,4,5.0,1.0,371.65
Banjara Hills,2090,3,3.0,3.0,317.86
Gachibowli,2645,3,3.0,1.5,250.74
Madhapur,892,1,2.0,1.0,107.7
Gachibowli,1943,3,4.0,1.5,173.72
Kukatpally,935,1,1.0,0.5,76.6
Uppal,3422,4,4.0,0.1,168.51
Kukatpally,3008,4,4.0,0.5,208.1
Madhapur,1527,2,3.0,1.0,164.52
Gachibowli,1330,2,2.0,1.5,129.9
Jubilee Hills,1699,2,3.0,2.5,314.46
Banjara Hills,1187,2,2.0,3.0,171.73
Ameerpet,3703,4,4.0,0.0,272.97
Jubilee Hills,879,1,2.0,2.5,187.42
Madhapur,2747,3,3.0,1.0,287.98
Banjara Hills,3002,4,4.0,3.0,453.19
Madhapur,1344,2,3.0,1.0,137.0
Madhapur,3265,4,4.0,1.0,333.35
Manikonda,3831,4,5.0,4.0,216.54
Madhapur,2254,3,4.0,1.0,222.1
Miyapur,1728,2,2.0,0.2,111.68
Jubilee Hills,2183,3,4.0,2.5,396.3
Miyapur,3379,4,4.0,0.2,208.35
Banjara Hills,2863,4,4.0,3.0,454.37
Banjara Hills,2512,3,4.0,3.0,401.71
Banjara Hills,3146,4,4.0,3.0,461.99
Miyapur,3444,4,4.0,0.2,206.42
Miyapur,1453,2,3.0,0.2,97.18
Kondapur,2201,3,3.0,2.0,200.51
Jubilee Hills,2239,3,3.0,2.5,430.79
Kukatpally,1359,2,3.0,0.5,118.33
Kukatpally,2544,3,4.0,0.5,171.88
Kukatpally,3208,4,4.0,0.5,243.12
Kondapur,1127,2,3.0,2.0,99.0
Madhapur,1921,3,3.0,1.0,195.87
Gachibowli,860,1,1.0,1.5,88.08
Kukatpally,3027,4,4.0,0.5,208.21
Ameerpet,1527,2,2.0,0.0,124.82
Miyapur,1186,2,2.0,0.2,82.44
Ameerpet,2911,4,4.0,0.0,227.37
Ameerpet,1714,2,3.0,0.0,145.98
Kondapur,2416,3,3.0,2.0,207.87
Ameerpet,976,1,2.0,0.0,81.19
Gachibowli,2832,4,4.0,1.5,241.23
Manikonda,2452,3,3.0,4.0,167.88
Kukatpally,3806,4,5.0,0.5,268.98
Kukatpally,1652,2,2.0,0.5,128.57
Miyapur,3743,4,4.0,0.2,211.98
Gachibowli,1210,2,2.0,1.5,110.81
Banjara Hills,1985,3,3.0,3.0,314.24
Ameerpet,1742,2,2.0,0.0,133.0
Miyapur,3257,4,4.0,0.2,204.93
Jubilee Hills,3338,4,4.0,2.5,628.63
Ameerpet,3590,4,5.0,0.0,277.75
Kukatpally,2392,3,3.0,0.5,164.2
Uppal,2647,3,3.0,0.1,137.54
Ameerpet,3574,4,4.0,0.0,282.9
Gachibowli,3391,4,4.0,1.5,288.45
Jubilee Hills,3557,4,4.0,2.5,641.45
Miyapur,1486,2,2.0,0.2,97.25
Ameerpet,1008,2,3.0,0.0,90.67
Banjara Hills,3714,4,4.0,3.0,582.01
Banjara Hills,2564,3,4.0,3.0,398.84
Uppal,2826,4,4.0,0.1,167.01
Kondapur,2779,3,3.0,2.0,226.03
Uppal,2073,3,4.0,0.1,104.6
Uppal,1792,2,2.0,0.1,94.91
Jubilee Hills,3258,4,4.0,2.5,551.87
Miyapur,2438,3,4.0,0.2,144.4
Gachibowli,2098,3,3.0,1.5,183.32
Banjara Hills,2761,3,3.0,3.0,411.86
Ameerpet,1751,2,2.0,0.0,136.83
Manikonda,2686,3,4.0,4.0,179.69
Banjara Hills,1279,2,2.0,3.0,210.7
Miyapur,1421,2,2.0,0.2,89.47
Banjara Hills,3053,4,4.0,3.0,479.52
Ameerpet,3317,4,4.0,0.0,254.16
Manikonda,2943,4,5.0,4.0,180.84
Kondapur,3142,4,5.0,2.0,249.68
Ameerpet,2919,4,5.0,0.0,221.02
Kukatpally,2107,3,3.0,0.5,151.99
Madhapur,1411,2,2.0,1.0,151.32
Banjara Hills,3972,4,5.0,3.0,562.96
Kondapur,2816,4,4.0,2.0,254.69
Uppal,3693,4,4.0,0.1,184.98
Madhapur,2701,3,4.0,1.0,274.94
Kondapur,1240,2,3.0,2.0,104.27
Kondapur,1899,3,3.0,2.0,159.8
Miyapur,1877,3,3.0,0.2,117.33
Banjara Hills,1059,2,3.0,3.0,176.4
Kondapur,1340,2,2.0,2.0,111.95
Madhapur,3719,4,5.0,1.0,353.92
Uppal,3518,4,4.0,0.1,170.65
Banjara Hills,1562,2,2.0,3.0,245.53
Jubilee Hills,2392,3,3.0,2.5,431.7
Gachibowli,2624,3,3.0,1.5,239.02
Manikonda,1408,2,2.0,4.0,94.24
Uppal,3825,4,4.0,0.1,180.65
Kondapur,3449,4,4.0,2.0,297.93
Jubilee Hills,2620,3,3.0,2.5,499.17
Jubilee Hills,2206,3,3.0,2.5,434.95
Ameerpet,3560,4,5.0,0.0,264.69
Kondapur,3382,4,4.0,2.0,286.34
Jubilee Hills,810,1,2.0,2.5,153.69
Banjara Hills,1273,2,2.0,3.0,210.77
Kukatpally,1055,2,3.0,0.5,78.71
Madhapur,2614,3,4.0,1.0,260.74
Gachibowli,3032,4,5.0,1.5,249.17
Manikonda,1761,2,2.0,4.0,116.72
Gachibowli,2474,3,3.0,1.5,218.72
Kukatpally,904,1,1.0,0.5,82.01
Banjara Hills,804,1,1.0,3.0,125.08
Ameerpet,2094,3,3.0,0.0,153.47
Banjara Hills,2836,4,5.0,3.0,447.64
Manikonda,1278,2,2.0,4.0,88.69
Miyapur,2726,3,3.0,0.2,166.3
Manikonda,1895,3,3.0,4.0,125.59
Gachibowli,3102,4,4.0,1.5,280.15
Uppal,1723,2,2.0,0.1,91.9
Gachibowli,1351,2,2.0,1.5,122.68
Ameerpet,1989,3,3.0,0.0,153.57
Uppal,3134,4,4.0,0.1,162.31
Madhapur,1318,2,2.0,1.0,145.87
Banjara Hills,2011,3,4.0,3.0,297.87
Gachibowli,3220,4,5.0,1.5,287.92
Madhapur,1556,2,2.0,1.0,151.0
Miyapur,3043,4,4.0,0.2,193.09
Gachibowli,1688,2,2.0,1.5,161.64
Jubilee Hills,3165,4,4.0,2.5,580.95
Kondapur,1346,2,2.0,2.0,119.77
Kukatpally,847,1,1.0,0.5,69.03
Kukatpally,2574,3,3.0,0.5,179.32
Uppal,2129,3,4.0,0.1,114.41
Kondapur,3523,4,4.0,2.0,299.61
Madhapur,2698,3,4.0,1.0,260.6
Gachibowli,2740,3,4.0,1.5,239.89
Uppal,3383,4,5.0,0.1,156.59
Gachibowli,3285,4,5.0,1.5,294.71
Miyapur,1292,2,3.0,0.2,88.84
Kukatpally,1718,2,2.0,0.5,137.82
Jubilee Hills,3036,4,4.0,2.5,585.05
Manikonda,2654,3,3.0,4.0,165.19
Manikonda,2898,4,4.0,4.0,190.39
Banjara Hills,2569,3,3.0,3.0,382.72
Banjara Hills,3685,4,4.0,3.0,562.7
Gachibowli,3744,4,4.0,1.5,330.29
Madhapur,2500,3,3.0,1.0,245.88
Miyapur,1312,2,2.0,0.2,95.25
Uppal,3613,4,4.0,0.1,171.49
Gachibowli,3232,4,5.0,1.5,302.46
Kukatpally,3893,4,4.0,0.5,286.51
Gachibowli,3355,4,5.0,1.5,310.79
Ameerpet,1933,3,3.0,0.0,157.25
Miyapur,1232,2,2.0,0.2,83.44
Banjara Hills,1557,2,2.0,3.0,233.05
Uppal,2075,3,3.0,0.1,99.3
Kondapur,2847,4,4.0,2.0,227.35
Jubilee Hills,3940,4,5.0,2.5,711.65
Madhapur,2427,3,3.0,1.0,261.4
Gachibowli,926,1,1.0,1.5,92.58
Gachibowli,3784,4,5.0,1.5,336.99
Jubilee Hills,3884,4,5.0,2.5,758.53
Jubilee Hills,3801,4,4.0,2.5,656.1
Uppal,1734,2,2.0,0.1,93.7
Gachibowli,2363,3,3.0,1.5,209.71
Ameerpet,2824,4,5.0,0.0,196.43
Uppal,1793,2,2.0,0.1,100.15
Uppal,1049,2,2.0,0.1,63.52
Manikonda,3497,4,5.0,4.0,219.86
Kukatpally,911,1,1.0,0.5,72.94
Madhapur,1430,2,2.0,1.0,159.88
Gachibowli,2067,3,3.0,1.5,184.68
Banjara Hills,1541,2,3.0,3.0,237.23
Uppal,1504,2,2.0,0.1,82.8
Gachibowli,3249,4,4.0,1.5,297.76
Gachibowli,2687,3,3.0,1.5,250.07
Gachibowli,2512,3,3.0,1.5,228.93
Manikonda,1909,3,3.0,4.0,119.58
Kondapur,1165,2,3.0,2.0,98.15
Kondapur,3663,4,4.0,2.0,318.76
Madhapur,3803,4,4.0,1.0,395.18
Uppal,3785,4,4.0,0.1,184.05
Madhapur,1106,2,2.0,1.0,112.2
Jubilee Hills,1095,2,2.0,2.5,210.48
Madhapur,2761,3,4.0,1.0,289.33
Miyapur,3285,4,4.0,0.2,202.51
Uppal,1251,2,2.0,0.1,74.26
Miyapur,942,1,1.0,0.2,71.91
Uppal,2998,4,4.0,0.1,149.78
Jubilee Hills,2231,3,3.0,2.5,414.82
Banjara Hills,3826,4,4.0,3.0,592.85
Madhapur,3338,4,4.0,1.0,324.19
Jubilee Hills,3496,4,5.0,2.5,669.27
Manikonda,3550,4,5.0,4.0,236.47
Miyapur,882,1,1.0,0.2,70.39
Ameerpet,1501,2,2.0,0.0,128.39
Kondapur,895,1,1.0,2.0,81.22
Jubilee Hills,2121,3,3.0,2.5,415.73
Uppal,2497,3,3.0,0.1,133.63
Kondapur,1802,3,3.0,2.0,150.63
Kukatpally,2530,3,4.0,0.5,180.54
Kondapur,3972,4,5.0,2.0,332.14
Banjara Hills,1192,2,2.0,3.0,202.18
Kondapur,1072,2,2.0,2.0,103.0
Jubilee Hills,1355,2,2.0,2.5,239.4
Gachibowli,1851,3,3.0,1.5,156.26
Miyapur,2929,4,4.0,0.2,180.29
Jubilee Hills,3317,4,4.0,2.5,599.65
Jubilee Hills,3814,4,4.0,2.5,654.26
Miyapur,3649,4,5.0,0.2,208.62
Jubilee Hills,1522,2,3.0,2.5,262.82
Jubilee Hills,2884,4,4.0,2.5,540.8
Kukatpally,3353,4,5.0,0.5,219.68
Banjara Hills,2742,3,3.0,3.0,431.98
Uppal,2412,3,4.0,0.1,128.13
Miyapur,1660,2,2.0,0.2,106.01
Manikonda,1483,2,3.0,4.0,96.62
Uppal,1661,2,2.0,0.1,96.26
Kukatpally,2568,3,4.0,0.5,176.97
Banjara Hills,2929,4,4.0,3.0,447.18
Ameerpet,2447,3,4.0,0.0,190.67
Jubilee Hills,2066,3,3.0,2.5,410.87
Ameerpet,1429,2,2.0,0.0,118.47
Ameerpet,3599,4,4.0,0.0,231.95
Kukatpally,2782,3,3.0,0.5,198.05
Gachibowli,1779,2,3.0,1.5,152.82
Banjara Hills,3477,4,4.0,3.0,504.22
Jubilee Hills,2168,3,4.0,2.5,402.56
Kukatpally,3500,4,4.0,0.5,245.4
Manikonda,1703,2,2.0,4.0,106.6
Gachibowli,2292,3,3.0,1.5,211.92
Jubilee Hills,1433,2,3.0,2.5,284.41
Uppal,2434,3,3.0,0.1,119.5
Kondapur,2990,4,4.0,2.0,268.58
Banjara Hills,3388,4,4.0,3.0,506.53
